,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
63,Big Data Engineer,Fetch Technology,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,yesterday,yesterday,"Rest Api, Strong Analytical Skills, Good Problem Solving Skills",https://glints.com/vn/opportunities/jobs/big-data-engineer/42c3701e-22f5-4316-9496-fcfc39c9acdb
64,Big Data Engineer ,Fetch Technology,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,yesterday,yesterday,"Python, Strong Analytical Skills, Problem Solving Skills",https://glints.com/vn/opportunities/jobs/big-data-engineer/94bd5dd5-03a1-4035-8f9d-df5c7b7b831f
65,Master Data Executive,MM Mega Market Vietnam,"Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Administrative,2 months ago,2 months ago,"Microsoft Excel, Microsoft Word, Administration",https://glints.com/vn/opportunities/jobs/master-data-executive/03d10196-e321-412e-b4ca-e5acca759e5c
66,HR Data Analyst,GS25,"Quận 10, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,14 days ago,12 days ago,"Analytical Skills, Pivot Tables, Technical Analysis, Data Analysis",https://glints.com/vn/opportunities/jobs/hr-data-analyst/57358660-30b1-4173-9a99-1104669a54a0
67,Senior Data Analyst,Palazzo Club,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,15 days ago,15 days ago,"MySQL, PostgreSQL, Market Research, Project Management, Good Communication Skills",https://glints.com/vn/opportunities/jobs/senior-data-analyst/e28cef1b-50c2-440e-b339-18e4e36263c0
68,Business Data Analyst,Ru9,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,15 days ago,15 days ago,"Data Science, Business Intelligence, Data Analysis",https://glints.com/vn/opportunities/jobs/business-data-analyst/f6058fe3-3b43-4115-b357-662c8ec2bc7c
69,[REMOTE] DATA ANALYST,Boost Commerce,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,23 days ago,10 days ago,"eCommerce, Data Model, Dashboard, English, SQL, Python, Business Intelligence, Data Analysis, Project Analysis",https://glints.com/vn/opportunities/jobs/remote-data-analyst/c5a58369-1ae8-4689-ad49-2b33b131ec14
70,Big Data Engineer,Fetch Technology,"Da Nang, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,25 days ago,25 days ago,"MySQL, Strong Analytical Skills, Good Problem Solving Skills",https://glints.com/vn/opportunities/jobs/big-data-engineer/df32f25d-5b47-442a-b065-25a47b45cdad
71,Big Data Engineer,Fetch Technology,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,26 days ago,26 days ago,"Python, Strong Analytical Skills, Good Problem Solving Skills",https://glints.com/vn/opportunities/jobs/big-data-engineer/ca8314b2-579a-466b-ae8a-08c7183e7626
72,Big Data Engineer,Fetch Technology,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,26 days ago,26 days ago,"Python, BDM, Rest Api",https://glints.com/vn/opportunities/jobs/big-data-engineer/7259903c-ded0-4f09-bea7-a35898c89f0b
73,Senior Data Analyst ,CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN SỐ ,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Data Science,26 days ago,26 days ago,"MySQL, Reporting, Data Analysis, Microsoft Power BI, Bussiness Intelligence",https://glints.com/vn/opportunities/jobs/senior-data-analyst/e07f2eec-a4d2-4021-a4ec-94405c7a3d81
74,Senior Data Analyst,OKXE,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,1 month ago,1 month ago,"Data Visualization, English, SQL, Python, Critical Thinking, Business Analyst, Business Intelligence, Data Analysis",https://glints.com/vn/opportunities/jobs/senior-data-analyst/e95bfdcd-6284-4613-aac9-c9184be83dde
75,Senior Data Analyst,OKXE,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,1 month ago,29 days ago,"Data Visualization, English, SQL, Python, Critical Thinking, Business Analyst, Business Intelligence, Data Analysis",https://glints.com/vn/opportunities/jobs/senior-data-analyst/1711634d-4635-4508-992c-9f22afaff05d
76,Data Analyst Intern,Buymed,"Quận 1, Ho Chi Minh City, Vietnam",,,Thực Tập,Data Science,30 days ago,yesterday,"Logic thinking, Python, Good Communication Skills",https://glints.com/vn/opportunities/jobs/data-analyst-intern/6b66a604-4734-440a-855f-cfd85bc79763
77,Data Entry Supervisor,DEK Technologies,"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Other,1 month ago,1 month ago,"Interpersonal Skills, Analytical Skills, Strong Leadership Skills",https://glints.com/vn/opportunities/jobs/data-entry-supervisor/1999b43e-688b-4fff-8cc1-83155cbff313
78,Junior Data Analyst,Apollo Solutions,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,2 months ago,9 days ago,"NoSQL, SQL, Python",https://glints.com/vn/opportunities/jobs/junior-data-analyst/d5959d05-8fbb-487a-9ee5-eb5bdd4662ee
79,Senior Data Scientist,F88,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Data Science,3 months ago,1 month ago,"Data Science, Database Administration, Data Analysis",https://glints.com/vn/opportunities/jobs/senior-data-scientist/11b89fc5-8fcd-4c33-9f16-01603b3101fb
80,Senior Data Analyst,F88,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Data Science,3 months ago,23 days ago,"Data Science, Data Visualization, Database Administration, Statistical Data Analysis, Data Analysis",https://glints.com/vn/opportunities/jobs/senior-data-analyst/b988c0c4-8601-474f-8413-3411972cb16b
